year,source,target,value,color
2004,10,0,15.54,"rgba(242,116,32,0.5)"
2004,11,0,1.33,"rgba(242,116,32,0.5)"
2004,12,0,0.67,"rgba(242,116,32,0.5)"
2004,13,0,4.66,"rgba(242,116,32,0.5)"
2004,0,1,22.20,"rgba(211,211,211,0.5)"
2004,1,2,4.19,"rgba(211,211,211,0.5)"
2004,1,4,3.99,"rgba(250,188,19,0.5)"
2004,1,5,14.03,"rgba(73,148,206,0.5)"
2004,6,4,9.31,"rgba(250,188,19,0.5)"
2004,6,5,7.43,"rgba(73,148,206,0.5)"
2004,4,7,13.30,"rgba(250,188,19,0.5)"
2004,5,7,41.25,"rgba(73,148,206,0.5)"
2004,7,9,34.75,"rgba(127,194,65,0.5)"
2004,7,14,19.80,"rgba(68,158,158,0.5)"
2004,14,5,19.80,"rgba(68,158,158,0.5)"
2005,10,0,19.28,"rgba(242,116,32,0.5)"
2005,11,0,1.29,"rgba(242,116,32,0.5)"
2005,12,0,0.51,"rgba(242,116,32,0.5)"
2005,13,0,4.63,"rgba(242,116,32,0.5)"
2005,0,1,25.70,"rgba(211,211,211,0.5)"
2005,1,2,3.18,"rgba(211,211,211,0.5)"
2005,1,4,6.35,"rgba(250,188,19,0.5)"
2005,1,5,16.18,"rgba(73,148,206,0.5)"
2005,6,4,7.16,"rgba(250,188,19,0.5)"
2005,6,5,6.22,"rgba(73,148,206,0.5)"
2005,4,7,13.50,"rgba(250,188,19,0.5)"
2005,5,7,41.48,"rgba(73,148,206,0.5)"
2005,7,9,35.90,"rgba(127,194,65,0.5)"
2005,7,14,19.08,"rgba(68,158,158,0.5)"
2005,14,5,19.08,"rgba(68,158,158,0.5)"
2006,10,0,26.89,"rgba(242,116,32,0.5)"
2006,11,0,1.00,"rgba(242,116,32,0.5)"
2006,12,0,0.33,"rgba(242,116,32,0.5)"
2006,13,0,4.98,"rgba(242,116,32,0.5)"
2006,0,1,33.20,"rgba(211,211,211,0.5)"
2006,1,2,6.19,"rgba(211,211,211,0.5)"
2006,1,4,9.66,"rgba(250,188,19,0.5)"
2006,1,5,17.35,"rgba(73,148,206,0.5)"
2006,6,4,4.14,"rgba(250,188,19,0.5)"
2006,6,5,4.84,"rgba(73,148,206,0.5)"
2006,4,7,13.80,"rgba(250,188,19,0.5)"
2006,5,7,40.35,"rgba(73,148,206,0.5)"
2006,7,9,35.99,"rgba(127,194,65,0.5)"
2006,7,14,18.16,"rgba(68,158,158,0.5)"
2006,14,5,18.16,"rgba(68,158,158,0.5)"
2007,10,0,19.17,"rgba(242,116,32,0.5)"
2007,11,0,0.46,"rgba(242,116,32,0.5)"
2007,12,0,0.23,"rgba(242,116,32,0.5)"
2007,13,0,3.23,"rgba(242,116,32,0.5)"
2007,0,1,23.10,"rgba(211,211,211,0.5)"
2007,1,2,0.98,"rgba(211,211,211,0.5)"
2007,1,4,5.55,"rgba(250,188,19,0.5)"
2007,1,5,16.57,"rgba(73,148,206,0.5)"
2007,6,4,9.45,"rgba(250,188,19,0.5)"
2007,6,5,5.13,"rgba(73,148,206,0.5)"
2007,4,7,15.00,"rgba(250,188,19,0.5)"
2007,5,7,39.45,"rgba(73,148,206,0.5)"
2007,7,9,36.70,"rgba(127,194,65,0.5)"
2007,7,14,17.75,"rgba(68,158,158,0.5)"
2007,14,5,17.75,"rgba(68,158,158,0.5)"
2008,10,0,29.32,"rgba(242,116,32,0.5)"
2008,11,0,0.34,"rgba(242,116,32,0.5)"
2008,12,0,0.34,"rgba(242,116,32,0.5)"
2008,13,0,3.71,"rgba(242,116,32,0.5)"
2008,0,1,33.70,"rgba(211,211,211,0.5)"
2008,1,2,6.47,"rgba(211,211,211,0.5)"
2008,1,4,9.94,"rgba(250,188,19,0.5)"
2008,1,5,17.29,"rgba(73,148,206,0.5)"
2008,6,4,4.46,"rgba(250,188,19,0.5)"
2008,6,5,4.32,"rgba(73,148,206,0.5)"
2008,4,7,14.40,"rgba(250,188,19,0.5)"
2008,5,7,39.30,"rgba(73,148,206,0.5)"
2008,7,9,36.02,"rgba(127,194,65,0.5)"
2008,7,14,17.69,"rgba(68,158,158,0.5)"
2008,14,5,17.69,"rgba(68,158,158,0.5)"
2009,10,0,28.90,"rgba(242,116,32,0.5)"
2009,11,0,0.34,"rgba(242,116,32,0.5)"
2009,12,0,0.34,"rgba(242,116,32,0.5)"
2009,13,0,4.42,"rgba(242,116,32,0.5)"
2009,0,1,34.00,"rgba(211,211,211,0.5)"
2009,1,2,6.63,"rgba(211,211,211,0.5)"
2009,1,4,9.37,"rgba(250,188,19,0.5)"
2009,1,5,18.00,"rgba(73,148,206,0.5)"
2009,6,4,4.83,"rgba(250,188,19,0.5)"
2009,6,5,3.83,"rgba(73,148,206,0.5)"
2009,4,7,14.20,"rgba(250,188,19,0.5)"
2009,5,7,38.30,"rgba(73,148,206,0.5)"
2009,7,9,36.03,"rgba(127,194,65,0.5)"
2009,7,14,16.47,"rgba(68,158,158,0.5)"
2009,14,5,16.47,"rgba(68,158,158,0.5)"
2010,10,0,30.83,"rgba(242,116,32,0.5)"
2010,11,0,0.37,"rgba(242,116,32,0.5)"
2010,12,0,0.73,"rgba(242,116,32,0.5)"
2010,13,0,4.77,"rgba(242,116,32,0.5)"
2010,0,1,36.70,"rgba(211,211,211,0.5)"
2010,1,2,6.46,"rgba(211,211,211,0.5)"
2010,1,4,10.53,"rgba(250,188,19,0.5)"
2010,1,5,19.71,"rgba(73,148,206,0.5)"
2010,6,4,5.67,"rgba(250,188,19,0.5)"
2010,6,5,3.77,"rgba(73,148,206,0.5)"
2010,4,7,16.20,"rgba(250,188,19,0.5)"
2010,5,7,41.93,"rgba(73,148,206,0.5)"
2010,7,9,39.68,"rgba(127,194,65,0.5)"
2010,7,14,18.45,"rgba(68,158,158,0.5)"
2010,14,5,18.45,"rgba(68,158,158,0.5)"
2011,10,0,34.51,"rgba(242,116,32,0.5)"
2011,11,0,0.41,"rgba(242,116,32,0.5)"
2011,12,0,0.81,"rgba(242,116,32,0.5)"
2011,13,0,4.87,"rgba(242,116,32,0.5)"
2011,0,1,40.60,"rgba(211,211,211,0.5)"
2011,1,2,8.61,"rgba(211,211,211,0.5)"
2011,1,4,11.41,"rgba(250,188,19,0.5)"
2011,1,5,20.58,"rgba(73,148,206,0.5)"
2011,6,4,4.89,"rgba(250,188,19,0.5)"
2011,6,5,3.78,"rgba(73,148,206,0.5)"
2011,4,7,16.30,"rgba(250,188,19,0.5)"
2011,5,7,42.00,"rgba(73,148,206,0.5)"
2011,7,9,40.66,"rgba(127,194,65,0.5)"
2011,7,14,17.64,"rgba(68,158,158,0.5)"
2011,14,5,17.64,"rgba(68,158,158,0.5)"
2012,10,0,34.19,"rgba(242,116,32,0.5)"
2012,11,0,0.41,"rgba(242,116,32,0.5)"
2012,12,0,0.81,"rgba(242,116,32,0.5)"
2012,13,0,5.29,"rgba(242,116,32,0.5)"
2012,0,1,40.70,"rgba(211,211,211,0.5)"
2012,1,2,8.75,"rgba(211,211,211,0.5)"
2012,1,4,10.85,"rgba(250,188,19,0.5)"
2012,1,5,21.10,"rgba(73,148,206,0.5)"
2012,6,4,4.65,"rgba(250,188,19,0.5)"
2012,6,5,2.84,"rgba(73,148,206,0.5)"
2012,4,7,15.50,"rgba(250,188,19,0.5)"
2012,5,7,40.58,"rgba(73,148,206,0.5)"
2012,7,9,39.44,"rgba(127,194,65,0.5)"
2012,7,14,16.64,"rgba(68,158,158,0.5)"
2012,14,5,16.64,"rgba(68,158,158,0.5)"
2013,10,0,30.67,"rgba(242,116,32,0.5)"
2013,11,0,0.37,"rgba(242,116,32,0.5)"
2013,12,0,1.12,"rgba(242,116,32,0.5)"
2013,13,0,5.24,"rgba(242,116,32,0.5)"
2013,0,1,37.40,"rgba(211,211,211,0.5)"
2013,1,2,6.44,"rgba(211,211,211,0.5)"
2013,1,4,10.05,"rgba(250,188,19,0.5)"
2013,1,5,20.91,"rgba(73,148,206,0.5)"
2013,6,4,4.95,"rgba(250,188,19,0.5)"
2013,6,5,1.58,"rgba(73,148,206,0.5)"
2013,4,7,15.00,"rgba(250,188,19,0.5)"
2013,5,7,39.45,"rgba(73,148,206,0.5)"
2013,7,9,37.49,"rgba(127,194,65,0.5)"
2013,7,14,16.96,"rgba(68,158,158,0.5)"
2013,14,5,16.96,"rgba(68,158,158,0.5)"
2014,10,0,30.18,"rgba(242,116,32,0.5)"
2014,11,0,0.37,"rgba(242,116,32,0.5)"
2014,12,0,1.10,"rgba(242,116,32,0.5)"
2014,13,0,5.15,"rgba(242,116,32,0.5)"
2014,0,1,36.80,"rgba(211,211,211,0.5)"
2014,1,2,7.17,"rgba(211,211,211,0.5)"
2014,1,4,9.66,"rgba(250,188,19,0.5)"
2014,1,5,19.97,"rgba(73,148,206,0.5)"
2014,6,4,5.44,"rgba(250,188,19,0.5)"
2014,6,5,1.15,"rgba(73,148,206,0.5)"
2014,4,7,15.10,"rgba(250,188,19,0.5)"
2014,5,7,38.40,"rgba(73,148,206,0.5)"
2014,7,9,36.22,"rgba(127,194,65,0.5)"
2014,7,14,17.28,"rgba(68,158,158,0.5)"
2014,14,5,17.28,"rgba(68,158,158,0.5)"
2015,10,0,30.79,"rgba(242,116,32,0.5)"
2015,11,0,0.22,"rgba(242,116,32,0.5)"
2015,12,0,1.00,"rgba(242,116,32,0.5)"
2015,13,0,5.08,"rgba(242,116,32,0.5)"
2015,0,1,37.10,"rgba(211,211,211,0.5)"
2015,1,2,6.08,"rgba(211,211,211,0.5)"
2015,1,4,10.35,"rgba(250,188,19,0.5)"
2015,1,5,20.67,"rgba(73,148,206,0.5)"
2015,6,4,4.65,"rgba(250,188,19,0.5)"
2015,6,5,1.17,"rgba(73,148,206,0.5)"
2015,4,7,15.00,"rgba(250,188,19,0.5)"
2015,5,7,39.00,"rgba(73,148,206,0.5)"
2015,7,9,36.84,"rgba(127,194,65,0.5)"
2015,7,14,17.16,"rgba(68,158,158,0.5)"
2015,14,5,17.16,"rgba(68,158,158,0.5)"
2016,10,0,31.43,"rgba(242,116,32,0.5)"
2016,11,0,0.15,"rgba(242,116,32,0.5)"
2016,12,0,0.83,"rgba(242,116,32,0.5)"
2016,13,0,5.19,"rgba(242,116,32,0.5)"
2016,0,1,37.60,"rgba(211,211,211,0.5)"
2016,1,2,5.94,"rgba(211,211,211,0.5)"
2016,1,4,10.50,"rgba(250,188,19,0.5)"
2016,1,5,21.16,"rgba(73,148,206,0.5)"
2016,6,4,4.50,"rgba(250,188,19,0.5)"
2016,6,5,1.22,"rgba(73,148,206,0.5)"
2016,4,7,15.00,"rgba(250,188,19,0.5)"
2016,5,7,40.70,"rgba(73,148,206,0.5)"
2016,7,9,37.39,"rgba(127,194,65,0.5)"
2016,7,14,18.32,"rgba(68,158,158,0.5)"
2016,14,5,18.32,"rgba(68,158,158,0.5)"
2017,10,0,31.19,"rgba(242,116,32,0.5)"
2017,11,0,0.07,"rgba(242,116,32,0.5)"
2017,12,0,0.86,"rgba(242,116,32,0.5)"
2017,13,0,5.27,"rgba(242,116,32,0.5)"
2017,0,1,37.40,"rgba(211,211,211,0.5)"
2017,1,2,6.98,"rgba(211,211,211,0.5)"
2017,1,4,10.57,"rgba(250,188,19,0.5)"
2017,1,5,19.85,"rgba(73,148,206,0.5)"
2017,6,4,4.53,"rgba(250,188,19,0.5)"
2017,6,5,1.19,"rgba(73,148,206,0.5)"
2017,4,7,15.10,"rgba(250,188,19,0.5)"
2017,5,7,39.70,"rgba(73,148,206,0.5)"
2017,7,9,36.14,"rgba(127,194,65,0.5)"
2017,7,14,18.66,"rgba(68,158,158,0.5)"
2017,14,5,18.66,"rgba(68,158,158,0.5)"
2018,10,0,30.50,"rgba(242,116,32,0.5)"
2018,11,0,0.10,"rgba(242,116,32,0.5)"
2018,12,0,0.80,"rgba(242,116,32,0.5)"
2018,13,0,6.00,"rgba(242,116,32,0.5)"
2018,0,1,37.40,"rgba(211,211,211,0.5)"
2018,1,2,7.30,"rgba(211,211,211,0.5)"
2018,1,4,10.40,"rgba(250,188,19,0.5)"
2018,1,5,19.70,"rgba(73,148,206,0.5)"
2018,6,4,4.70,"rgba(250,188,19,0.5)"
2018,6,5,2.00,"rgba(73,148,206,0.5)"
2018,4,7,15.10,"rgba(250,188,19,0.5)"
2018,5,7,39.40,"rgba(73,148,206,0.5)"
2018,7,9,36.80,"rgba(127,194,65,0.5)"
2018,7,14,17.70,"rgba(68,158,158,0.5)"
2018,14,5,17.70,"rgba(68,158,158,0.5)"
2019,10,0,30.05,"rgba(242,116,32,0.5)"
2019,11,0,0.07,"rgba(242,116,32,0.5)"
2019,12,0,0.82,"rgba(242,116,32,0.5)"
2019,13,0,6.16,"rgba(242,116,32,0.5)"
2019,0,1,37.10,"rgba(211,211,211,0.5)"
2019,1,2,7.69,"rgba(211,211,211,0.5)"
2019,1,4,10.06,"rgba(250,188,19,0.5)"
2019,1,5,19.34,"rgba(73,148,206,0.5)"
2019,6,4,4.74,"rgba(250,188,19,0.5)"
2019,6,5,2.42,"rgba(73,148,206,0.5)"
2019,4,7,14.80,"rgba(250,188,19,0.5)"
2019,5,7,40.30,"rgba(73,148,206,0.5)"
2019,7,9,36.56,"rgba(127,194,65,0.5)"
2019,7,14,18.54,"rgba(68,158,158,0.5)"
2019,14,5,18.54,"rgba(68,158,158,0.5)"
